classification,source_file,string_id,local_path,jp,local_content,candidate_contents_json,merged_contents_json
local_conflict_review,config:0x2b0,config:0x2b0,frontend/public/games/p2is/groups/config_0x2b0.json,<1103>EXIT,<1103>EXIT,"[""<1103>离开""]","[""<1103>离开""]"
local_conflict_review,config:0x360,config:0x360,frontend/public/games/p2is/groups/config_0x360.json,<1103>移動中のコマンド,<1103>移动中的命令,"[""<1103>移动中的指令""]","[""<1103>移动中的指令""]"
local_conflict_review,config:0x3ca,config:0x3ca,frontend/public/games/p2is/groups/config_0x3ca.json,<1103>方向キーで選択 ○ボタンで決定,<1103>方向键选择 ○键决定,"[""<1103>方向键选择 ○键确定""]","[""<1103>方向键选择 ○键确定""]"
local_conflict_review,config:0x5d0,config:0x5d0,frontend/public/games/p2is/groups/config_0x5d0.json,ONにすると振動ガ起こる場面で,设置为ON时，在振动场景中,"[""设置为ON时，会触发震动""]","[""设置为ON时，会触发震动""]"
local_conflict_review,config:0x87c,config:0x87c,frontend/public/games/p2is/groups/config_0x87c.json,<1103>セブンス,<1103>第七,"[""七姐妹校""]","[""七姐妹校""]"
merged_versions_conflict,field:1,field:1:0x58450,frontend/public/games/p2is/groups/field_1.json,先制攻撃のチャンス!\n,"先制攻击的机会！
","[""奇袭成功！\\n"", ""奇袭成功！""]","[""奇袭成功！\\n"", ""奇袭成功！""]"
merged_versions_conflict,field:1,field:1:0x58468,frontend/public/games/p2is/groups/field_1.json,の魔法を習得した\n,"学会了魔法
","[""的魔法已习得\\n"", ""的魔法已习得""]","[""的魔法已习得\\n"", ""的魔法已习得""]"
local_conflict_review,field:1,field:1:0x5847c,frontend/public/games/p2is/groups/field_1.json,2ランクレベルアップ\n,"等级提升了2级
","[""阶级提升了2级""]","[""阶级提升了2级""]"
merged_versions_conflict,field:1,field:1:0x58494,frontend/public/games/p2is/groups/field_1.json,パラメータガ上昇した\n,"参数上升了
","[""数值提升了\\n"", ""数值提升了""]","[""数值提升了\\n"", ""数值提升了""]"
local_conflict_review,field:1,field:1:0x584ac,frontend/public/games/p2is/groups/field_1.json,変異能力を身につけた\n,"掌握了变异能力
","[""掌握了变异能力\\n""]","[""掌握了变异能力\\n""]"
local_conflict_review,field:1,field:1:0x584de,frontend/public/games/p2is/groups/field_1.json,潜在的な能力ガ発動!\n,"潜在能力发动了！
","[""潜在能力发动了！\\n""]","[""潜在能力发动了！\\n""]"
merged_versions_conflict,field:1,field:1:0x584fe,frontend/public/games/p2is/groups/field_1.json,達は全滅した\n,"全员被全灭了
","[""们被全灭了\\n"", ""们被全灭了""]","[""们被全灭了\\n"", ""们被全灭了""]"
local_conflict_review,field:1,field:1:0x5850e,frontend/public/games/p2is/groups/field_1.json,舞耶「火ガ・・火ガ怖い!!」\n,"舞耶「火・・火好可怕!!」
","[""舞耶「火・・火好可怕!!」\\n\n""]","[""舞耶「火・・火好可怕!!」\\n\n""]"
local_conflict_review,field:1,field:1:0x58546,frontend/public/games/p2is/groups/field_1.json,逃げ出した\n,"逃跑了
","[""逃跑了\\n""]","[""逃跑了\\n""]"
local_conflict_review,field:1,field:1:0x58554,frontend/public/games/p2is/groups/field_1.json,こけた\n,"摔倒了
","[""摔倒了\\n""]","[""摔倒了\\n""]"
local_conflict_review,field:1,field:1:0x5862c,frontend/public/games/p2is/groups/field_1.json,行動を変更するメンバーを選択して下さい\n,"请选择要更改行动的成员
","[""请选择要更改行动的成员\\n""]","[""请选择要更改行动的成员\\n""]"
merged_versions_conflict,field:1,field:1:0x58656,frontend/public/games/p2is/groups/field_1.json,の行動を選択して下さい\n,"请选择[某人]的行动
","[""的行动进行选择\\n"", ""的行动进行选择""]","[""的行动进行选择\\n"", ""的行动进行选择""]"
local_conflict_review,field:1,field:1:0x58670,frontend/public/games/p2is/groups/field_1.json,対象を選択して下さい\n,"请选择目标
","[""请选择目标\\n""]","[""请选择目标\\n""]"
local_conflict_review,field:1,field:1:0x586a8,frontend/public/games/p2is/groups/field_1.json,使用するアイテムを選択して下さい\n,"请选择要使用的物品
","[""请选择要使用的物品\\n""]","[""请选择要使用的物品\\n""]"
local_conflict_review,field:1,field:1:0x586cc,frontend/public/games/p2is/groups/field_1.json,変更するペルソナを選択して下さい\n,"请选择要更改的人格面具
","[""请选择要更改的人格面具\\n""]","[""请选择要更改的人格面具\\n""]"
local_conflict_review,field:1,field:1:0x586f0,frontend/public/games/p2is/groups/field_1.json,アナライズする悪魔を選択して下さい\n,"请选择要分析的恶魔
","[""请选择要分析的恶魔\\n""]","[""请选择要分析的恶魔\\n""]"
merged_versions_conflict,field:1,field:1:0x58716,frontend/public/games/p2is/groups/field_1.json,3ポイントを振り分けて下さい\n,请分配3点\n,"[""请分配3点技能点\\n"", ""请分配3点技能点""]","[""请分配3点技能点\\n"", ""请分配3点技能点""]"
merged_versions_conflict,field:1,field:1:0x58850,frontend/public/games/p2is/groups/field_1.json,各種設定をしてください\n,请进行各种设置\n,"[""请进行各项设置\\n"", ""请进行各项设置""]","[""请进行各项设置\\n"", ""请进行各项设置""]"
local_conflict_review,field:1,field:1:0x588cc,frontend/public/games/p2is/groups/field_1.json,敵悪魔の詳細データを確認します\n,确认敌恶魔的详细数据\n,"[""确认敌方恶魔的详细数据\\n""]","[""确认敌方恶魔的详细数据\\n""]"
merged_versions_conflict,field:1,field:1:0x588ee,frontend/public/games/p2is/groups/field_1.json,戦闘に関する環境を設定します\n,设置战斗相关的环境\n,"[""对战斗相关的环境进行设置\\n"", ""对战斗相关的环境进行设置""]","[""对战斗相关的环境进行设置\\n"", ""对战斗相关的环境进行设置""]"
merged_versions_conflict,field:1,field:1:0x5895c,frontend/public/games/p2is/groups/field_1.json,発見した合体魔法の確認と<c20/>発動条件を設定します\n,确认发现的合体魔法和<c20/>设置发动条件\n,"[""确认已发现的合体魔法和<c20/>设置发动条件\\n"", ""确认已发现的合体魔法和<c20/>设置发动条件""]","[""确认已发现的合体魔法和<c20/>设置发动条件\\n"", ""确认已发现的合体魔法和<c20/>设置发动条件""]"
merged_versions_conflict,field:1,field:1:0x5898e,frontend/public/games/p2is/groups/field_1.json,ノーマル/シングルの切替えを行います\n,进行普通/单体的切换\n,"[""进行普通/单体模式的切换\\n"", ""进行普通/单体模式的切换""]","[""进行普通/单体模式的切换\\n"", ""进行普通/单体模式的切换""]"
merged_versions_conflict,field:1,field:1:0x58a2a,frontend/public/games/p2is/groups/field_1.json,のステータスを確認します\n,确认状态\n,"[""的状态确认\\n"", ""的状态确认""]","[""的状态确认\\n"", ""的状态确认""]"
merged_versions_conflict,field:1,field:1:0x58a46,frontend/public/games/p2is/groups/field_1.json,攻撃せず防御に専念します\n,不攻击，专心防御\n,"[""放弃攻击，专心防御\\n"", ""放弃攻击，专心防御""]","[""放弃攻击，专心防御\\n"", ""放弃攻击，专心防御""]"
merged_versions_conflict,field:1,field:1:0x58aa6,frontend/public/games/p2is/groups/field_1.json,この行動順で決定します\n,以此行动顺序决定\n,"[""确定该行动顺序\\n"", ""确定该行动顺序""]","[""确定该行动顺序\\n"", ""确定该行动顺序""]"
merged_versions_conflict,field:1,field:1:0x58ad6,frontend/public/games/p2is/groups/field_1.json,キャンセルされない限り戦闘を継続します\n,除非取消，否则继续战斗\n,"[""若未取消，则继续战斗\\n"", ""若未取消，则继续战斗""]","[""若未取消，则继续战斗\\n"", ""若未取消，则继续战斗""]"
merged_versions_conflict,field:1,field:1:0x58b32,frontend/public/games/p2is/groups/field_1.json,設定を終了し<c20/>「戦闘開始」に戻ります\n,结束设置<c20/>返回「战斗开始」\n,"[""结束设置<c20/>返回「开始战斗」\\n"", ""结束设置<c20/>返回「开始战斗」""]","[""结束设置<c20/>返回「开始战斗」\\n"", ""结束设置<c20/>返回「开始战斗」""]"
merged_versions_conflict,field:1,field:1:0x63a42,frontend/public/games/p2is/groups/field_1.json,答えられる状態ではありません\n,无法回答\n,"[""处于无法回答的状态\\n"", ""处于无法回答的状态""]","[""处于无法回答的状态\\n"", ""处于无法回答的状态""]"
local_conflict_review,field:1071,field:1071:0x134,frontend/public/games/p2is/groups/field_1071.json,達哉「漢を語る」用セリフ\n,达哉谈论男子汉的台词\n,"[""达哉谈论男子气概的台词\\n""]","[""达哉谈论男子气概的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x150,frontend/public/games/p2is/groups/field_1071.json,達哉「目で殺す」用セリフ\n,达哉用眼神杀人的台词\n,"[""达哉用来眼神杀的台词\\n""]","[""达哉用来眼神杀的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x16c,frontend/public/games/p2is/groups/field_1071.json,舞耶「インタビュー」用セリフ\n,舞耶采访的台词\n,"[""舞耶用来采访的台词\\n""]","[""舞耶用来采访的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x1aa,frontend/public/games/p2is/groups/field_1071.json,舞耶「親子を語る」用セリフ\n,舞耶谈论亲子的台词\n,"[""舞耶用来谈论亲子的台词\\n""]","[""舞耶用来谈论亲子的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x1c8,frontend/public/games/p2is/groups/field_1071.json,舞耶「褒め殺す」用セリフ\n,舞耶用赞美杀人的台词\n,"[""舞耶用来捧杀的台词\\n""]","[""舞耶用来捧杀的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x1e4,frontend/public/games/p2is/groups/field_1071.json,栄吉「自分に酔う」用セリフ\n,荣吉自我陶醉的台词\n,"[""荣吉用来自我陶醉的台词\\n""]","[""荣吉用来自我陶醉的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x202,frontend/public/games/p2is/groups/field_1071.json,栄吉「場を仕切る」用セリフ\n,荣吉掌控场面的台词\n,"[""荣吉用来掌控场面的台词\\n""]","[""荣吉用来掌控场面的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x220,frontend/public/games/p2is/groups/field_1071.json,栄吉「人生を語る」用セリフ\n,荣吉谈论人生的台词\n,"[""荣吉用来谈论人生的台词\\n""]","[""荣吉用来谈论人生的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x23e,frontend/public/games/p2is/groups/field_1071.json,栄吉「歌い殺す」用セリフ\n,荣吉用唱歌杀人的台词\n,"[""荣吉用来唱杀的台词\\n""]","[""荣吉用来唱杀的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x274,frontend/public/games/p2is/groups/field_1071.json,ギンコ「カンフー」用セリフ\n,丽莎功夫的台词\n,"[""丽莎展示功夫的台词\\n""]","[""丽莎展示功夫的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x2d0,frontend/public/games/p2is/groups/field_1071.json,淳「甘える」用セリフ\n,纯撒娇的台词\n,"[""淳撒娇的台词\\n""]","[""淳撒娇的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x2e8,frontend/public/games/p2is/groups/field_1071.json,淳「星占いをする」用セリフ\n,纯做星座占卜的台词\n,"[""淳做星座占卜的台词\\n""]","[""淳做星座占卜的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x306,frontend/public/games/p2is/groups/field_1071.json,淳「夢を語る」用セリフ\n,纯谈论梦想的台词\n,"[""淳谈论梦想的台词\\n""]","[""淳谈论梦想的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x320,frontend/public/games/p2is/groups/field_1071.json,淳「花で殺す」用セリフ\n,纯用花杀人的台词\n,"[""淳笑里藏刀的台词\\n""]","[""淳笑里藏刀的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x33a,frontend/public/games/p2is/groups/field_1071.json,ゆきの「諭す」用セリフ\n,雪乃开导的台词\n,"[""雪乃用来开导的台词\\n""]","[""雪乃用来开导的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x354,frontend/public/games/p2is/groups/field_1071.json,ゆきの「叱る」用セリフ\n,雪乃训斥的台词\n,"[""雪乃用来训斥的台词\\n""]","[""雪乃用来训斥的台词\\n""]"
local_conflict_review,field:1071,field:1071:0x36e,frontend/public/games/p2is/groups/field_1071.json,ゆきの「拳で語る」用セリフ\n,黛 雪乃「用拳说话」用台词\n,"[""雪乃用拳头说话的台词\\n""]","[""雪乃用拳头说话的台词\\n""]"
