source_file,string_id,jp,local_candidates_json,latest_pr_content,latest_pr_created_at,latest_pr_id,database_content,database_updated_at,selected_content
dup:field,dup:0b842379b930,花で殺す\n,"[""用花杀死\\n"", ""笑里藏刀\n""]",笑里藏刀\n,2026-06-21 06:16:42.499711+00,4db53b21-c7c8-4ac7-8fd0-c2a5aaf157e4,,,
dup:field,dup:0fbf7b3cf66d,ラスト・バタリオンのエスパー歩兵。\n精神改造され超能力を発揮する。\n<c6/>\n,"[""最后军团的超能力步兵。\n通过精神改造可以发挥超能力。\n<c6/>\n"", ""最后军团的超能力步兵。\n通过精神改造可以施展超能力。\n<c6/>\n""]",最后军团的超能力步兵。\n通过精神改造可以发挥超能力。\n<c6/>\n,2026-06-23 20:41:35.346509+00,b1bd3698-21c1-4093-b0de-00c991b26713,,,
dup:field,dup:245113b3fe63,撮り殺す\n,"[""抓拍丑态\n"", ""拍照杀死\\n""]",抓拍丑态\n,2026-06-21 06:16:42.499711+00,4db53b21-c7c8-4ac7-8fd0-c2a5aaf157e4,,,
dup:field,dup:2518e0978298,<c5:0/><c1e:0/><c1d:11/>二人の関係<c1d:9/>\n 口より手ガ先に出る、似た者同士<c1d:1/>\n<c6/>\n,"[""<c5:0/><c1e:0/><c1d:11/>两人的关系<c1d:9/>\n 动手比动口快的、相似的一对<c1d:1/>\n<c6/>\n"", ""<c5:0/><c1e:0/><c1d:11/>两人的关系<c1d:9/>\n 动手比动口快，性格相似的一对<c1d:1/>\n<c6/>\n""]",<c5:0/><c1e:0/><c1d:11/>两人的关系<c1d:9/>\n 动手比动口快，性格相似的一对<c1d:1/>\n<c6/>\n,2026-06-21 06:16:42.499711+00,4db53b21-c7c8-4ac7-8fd0-c2a5aaf157e4,,,
dup:field,dup:29c3fbdda6de,漢を語る\n,"[""论男子汉\n"", ""谈男子气\n""]",论男子汉\n,2026-06-21 06:16:42.499711+00,4db53b21-c7c8-4ac7-8fd0-c2a5aaf157e4,,,
dup:field,dup:343ad73b5e03,七福神の一人 恵比寿神\n海の幸をもたらす神\n<c6/>\n,"[""七福神之一 惠比寿神\n带来海洋恩惠的神\n<c6/>\n"", ""七福神之一 惠比寿神\n带来海洋物产的神\n<c6/>\n""]",七福神之一 惠比寿神\n带来海洋恩惠的神\n<c6/>\n,2026-06-23 19:29:13.337846+00,ffc94276-c5b2-46a7-a25b-1d55adab1089,,,
dup:field,dup:3989992770fb,<c5:0/><c1e:0/>月刊クーレストの雑誌記者。\n明るく快活で、\n健康的な色気を振りまく美女。\n<c6/>\n,"[""<c5:0/><c1e:0/>月刊Coolest的杂志记者。\n开朗活泼，\n散发着健康魅力的美女。\n<c6/>\n"", ""<c5:0/><c1e:0/>月刊库雷斯特的杂志记者。\n开朗活泼，\n散发着健康魅力的美女。\n<c6/>\n""]",<c5:0/><c1e:0/>月刊Coolest的杂志记者。\n开朗活泼，\n散发着健康魅力的美女。\n<c6/>\n,2026-06-17 10:34:53.303302+00,2633bfff-9a78-4dac-87ce-d8254d0ac466,,,
dup:field,dup:4075a249ea0c,褒め殺す\n,"[""捧杀\n"", ""赞美至死\n""]",捧杀\n,2026-06-21 06:16:42.499711+00,4db53b21-c7c8-4ac7-8fd0-c2a5aaf157e4,,,
dup:field,dup:549f429916d9,親子を語る\n,"[""谈亲子\n"", ""谈论亲情\n""]",谈论亲情\n,2026-06-21 06:16:42.499711+00,4db53b21-c7c8-4ac7-8fd0-c2a5aaf157e4,,,
dup:field,dup:8946b443c14d,<c5:0/><c1e:0/><c1d:11/>三人の関係<c1d:9/>\n 女三人、奇妙な連帯感と、競い合う微妙な女心?<c1d:1/>\n<c6/>\n,"[""<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\n 三个女人奇妙的团结又怀揣竞争的女性心理？<c1d:1/>\n<c6/>\n"", ""<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\\n 三女奇妙团结又竞争的女心？<c1d:1/>\\n<c6/>\\n""]",<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\n 三个女人奇妙的团结又怀揣竞争的女性心理？<c1d:1/>\n<c6/>\n,2026-06-21 06:16:42.499711+00,4db53b21-c7c8-4ac7-8fd0-c2a5aaf157e4,,,
