dup_id,chosen,alternatives
dup:9fa0ff4cb7d5,雅,银子
dup:7bd128982349,"
<SURNAME/>呜嘿嘿嘿。
<SURNAME/>嗨，欢迎来到里见正～。<pause:15/>
<SURNAME/>来，要点什么？","
<SURNAME/>，呜呼呼呼。
<SURNAME/>，欢迎光临里美正〜。<pause:15/>
<SURNAME/>，来，要点什么呢？"
dup:cf0eeabb46e9,"
<SURNAME/>呜嘿嘿嘿。
<SURNAME/>还有别的什么事吗～","
<SURNAME/>，呜呼呼呼。
<SURNAME/>，还有其他什么吗〜"
dup:69f601e9ff39,"
<SURNAME/>好好。
<SURNAME/>那么，下次再来哦～
<SURNAME/>呜嘿嘿嘿。","
<SURNAME/>好好。
<SURNAME/>那么，下次再来哦～
<SURNAME/>呜呼哟哟哟。"
dup:a357fa281fb5,"
<SURNAME/>怎么了，少年？
<SURNAME/>找这位父亲有什么事吗？","
<SURNAME/>怎么了少年?
<SURNAME/>找父亲有什么事吗?"
dup:a01a41be3678,"
<SURNAME/>什么，悬赏？<SURNAME/>好像没收到什么啊…
<SURNAME/>是不是时间还没到？
<SURNAME/>过会儿再来如何？","
<SURNAME/>什么，悬赏?<SURNAME/>好像没收到什么…
<SURNAME/>是不是时间还没到?
<SURNAME/>过会儿再来怎么样? || 
<SURNAME/>什么，悬赏？<SURNAME/>好像什么也没到…
<SURNAME/>是不是时间还没到呢？
<SURNAME/>过一会儿再来怎么样？ || 
<SURNAME/>什么，悬赏？<SURNAME/>好像什么也没收到啊…
<SURNAME/>是不是时间还没到呢？
<SURNAME/>过一会儿再来怎么样？ || 
<SURNAME/>什么，抽奖？<SURNAME/>好像还没收到东西啊…
<SURNAME/>是不是时间还没到呢？
<SURNAME/>过会儿再来怎么样？"
dup:c9c12faacfb2,"
<SURNAME/>什么，悬赏？
<SURNAME/>哦，对了，收到了这个。
<SURNAME/>收下吧。","
<SURNAME/>什么，悬赏？
<SURNAME/>哦，说起来好像收到了这样的东西啊。
<SURNAME/>拿去吧。 || 
<SURNAME/>什么，悬赏？
<SURNAME/>哦，说起来有这个东西送到了。
<SURNAME/>请收下。 || 
<SURNAME/>什么，抽奖？
<SURNAME/>哦，说起来有收到这么个东西啊。
<SURNAME/>拿去吧。"
dup:fd9a10c8cb66,"
<SURNAME/>「感谢您应征悬赏。
<SURNAME/><SURNAME/>很遗憾您未能中选。
<SURNAME/><SURNAME/>期待您下次的应征。」","
<SURNAME/>「感谢您参与本次抽奖活动。
<SURNAME/><SURNAME/>很遗憾，您未能中选。
<SURNAME/><SURNAME/>期待您下次继续参与。」 || 
<SURNAME/>「感谢您应征悬赏。
<SURNAME/><SURNAME/>很遗憾，您落选了。
<SURNAME/><SURNAME/>期待您下次应征。」"
dup:c09ed92c2546,"
<SURNAME/>「感谢您应征悬赏。
<SURNAME/><SURNAME/>恭喜您中选！
<SURNAME/><SURNAME/>恭喜您!!」","
<SURNAME/>「感谢您参与本次抽奖活动。
<SURNAME/><SURNAME/>恭喜您中选！
<SURNAME/><SURNAME/>恭喜您!!」 || 
<SURNAME/>「感谢您应征悬赏。
<SURNAME/><SURNAME/>您成功当选了。
<SURNAME/><SURNAME/>恭喜您!!」 || 
<SURNAME/>「感谢您应征悬赏，
<SURNAME/><SURNAME/>您成功中奖了。
<SURNAME/><SURNAME/>恭喜您！！」"
dup:b72a30946506,"
<SURNAME/>「作为奖品，
<SURNAME/><SURNAME/><c1d:9/><keyitem:0/><c1d:1/>将寄送给您。
<SURNAME/><SURNAME/>期待您的再次应征。」","
<SURNAME/>「作为中奖奖品，
<SURNAME/><SURNAME/><c1d:9/><keyitem:0/><c1d:1/>将寄送给您。
<SURNAME/><SURNAME/>期待您再次参与。」 || 
<SURNAME/>「作为奖品，
<SURNAME/><SURNAME/><c1d:9/><keyitem:0/><c1d:1/>をお送りいたします。
<SURNAME/><SURNAME/>期待您再次应征。」 || 
<SURNAME/>「作为奖品，
<SURNAME/><SURNAME/><c1d:9/><keyitem:0/><c1d:1/>将发送给您。
<SURNAME/><SURNAME/>期待您再次应征。」"
dup:a5da2a826340,"
<SURNAME/>呜哟哟哟。
<SURNAME/>欢迎光临里见青华店〜
<SURNAME/>来来，有何贵干呀〜呜哟哟哟。","
<SURNAME/>呜嘿嘿嘿。
<SURNAME/>欢迎来到里美忠青华店〜
<SURNAME/>来来，有什么需要吗〜呜嘿嘿嘿。"
dup:776a02cfec9f,"
<SURNAME/>还有其他事吗〜?
<SURNAME/>呜哟哟哟。","
<SURNAME/>还有其他事吗〜？
<SURNAME/>呜嘿嘿嘿。"
dup:05a4d856c81c,"
<SURNAME/><c12/>等人受到了<c1d:9/>毒<c1d:1/>的影响。","
<SURNAME/><c12/>们，中了<c1d:9/>毒<c1d:1/>。"
dup:14ac7eed9fab,"
<SURNAME/>欢迎光临。
<SURNAME/>继承英国气派与传统的店铺，
<SURNAME/>欢迎来到伦敦屋。","
<SURNAME/>欢迎光临。
<SURNAME/>本店传承英国的气度与传统，
<SURNAME/>欢迎来到伦敦屋。"
dup:492e6e4619bd,"
所有位元都未设置。
请确认。
金田。","
所有位元都没启动。
请确认一下。
金田。 || 
所有位均未置位。
请确认。
金田。 || 
所有位都未置位。
请确认。
金田。 || 
所有位都没有置位。
请确认。
金田。 || 
所有位都没有设置。
请确认。
金田。 || 
所有比特位都没有置位。
请确认。
金田。 || 
没有任何位被设置。
请确认。
金田。"
dup:0bbfc3be5a9b,"
<SURNAME/>谢谢光临。
<SURNAME/>衷心期待
<SURNAME/>您再次光临。","
<SURNAME/>非常感谢。
<SURNAME/>衷心期待
<SURNAME/>您的再次光临。 "
dup:e649ca2c3bcb,"
<SURNAME/>说起来这扇门，打小就挺在意的…<pause:30/>
<SURNAME/>刚看见就消失了。还以为是幻觉，
<SURNAME/>没想到居然通到这种房间啊。","
<SURNAME/>说起来这扇门，从小时候起就让我在意…<pause:30/>
<SURNAME/>以为看到了又消失。还以为是幻觉，
<SURNAME/>没想到居然通向这样的房间啊。"
dup:c308a854e9b3,"
<SURNAME/>我也是呢，在梦崎之类的地方见过同样的门，
<SURNAME/>偶尔会看到。
<SURNAME/>不过，美保她们好像没看见过。","
<SURNAME/>我呢，在梦崎也偶尔
<SURNAME/>见过和这里一样的门。
<SURNAME/>但美保她们好像看不见。"
dup:21e053fe2f8a,"
<SURNAME/>好棒的歌呢…<pause:30/>
<SURNAME/>怎么说呢，仿佛在灵魂中回响…<pause:30/>
<SURNAME/>不觉得心情超放松吗?","
<SURNAME/>好棒的歌啊…<pause:30/>
<SURNAME/>怎么说呢，仿佛触动灵魂…<pause:30/>
<SURNAME/>不觉得非常放松吗？ || 
<SURNAME/>好美的歌…<pause:30/>
<SURNAME/>怎么说呢，直击灵魂…<pause:30/>
<SURNAME/>不觉得超放松吗？"
