source_file,string_id,jp,current_dup_content,candidate_counts_json,suggested_content,suggestion_reason
dup:field,dup:0b842379b930,花で殺す\n,笑里藏刀\n,"[[""笑里藏刀\n"", 1], [""用花杀死\\n"", 1]]",,
dup:field,dup:0fbf7b3cf66d,ラスト・バタリオンのエスパー歩兵。\n精神改造され超能力を発揮する。\n<c6/>\n,最后军团的超能力步兵。\n通过精神改造可以施展超能力。\n<c6/>\n,"[[""最后军团的超能力步兵。\n通过精神改造可以发挥超能力。\n<c6/>\n"", 1], [""最后军团的超能力步兵。\n通过精神改造可以施展超能力。\n<c6/>\n"", 1]]",,
dup:field,dup:245113b3fe63,撮り殺す\n,抓拍丑态\n,"[[""抓拍丑态\n"", 1], [""拍照杀死\\n"", 1]]",,
dup:field,dup:2518e0978298,<c5:0/><c1e:0/><c1d:11/>二人の関係<c1d:9/>\n 口より手ガ先に出る、似た者同士<c1d:1/>\n<c6/>\n,<c5:0/><c1e:0/><c1d:11/>两人的关系<c1d:9/>\n 动手比动口快，性格相似的一对<c1d:1/>\n<c6/>\n,"[[""<c5:0/><c1e:0/><c1d:11/>两人的关系<c1d:9/>\n 动手比动口快，性格相似的一对<c1d:1/>\n<c6/>\n"", 1], [""<c5:0/><c1e:0/><c1d:11/>两人的关系<c1d:9/>\n 动手比动口快的、相似的一对<c1d:1/>\n<c6/>\n"", 1]]",,
dup:field,dup:29c3fbdda6de,漢を語る\n,论男子汉\n,"[[""论男子汉\n"", 1], [""谈男子气\n"", 1]]",,
dup:field,dup:343ad73b5e03,七福神の一人 恵比寿神\n海の幸をもたらす神\n<c6/>\n,七福神之一 惠比寿神\n带来海洋物产的神\n<c6/>\n,"[[""七福神之一 惠比寿神\n带来海洋物产的神\n<c6/>\n"", 1], [""七福神之一 惠比寿神\n带来海洋恩惠的神\n<c6/>\n"", 1]]",,
dup:field,dup:3989992770fb,<c5:0/><c1e:0/>月刊クーレストの雑誌記者。\n明るく快活で、\n健康的な色気を振りまく美女。\n<c6/>\n,<c5:0/><c1e:0/>月刊Coolest的杂志记者。\n开朗活泼，\n散发着健康魅力的美女。\n<c6/>\n,"[[""<c5:0/><c1e:0/>月刊库雷斯特的杂志记者。\n开朗活泼，\n散发着健康魅力的美女。\n<c6/>\n"", 1], [""<c5:0/><c1e:0/>月刊Coolest的杂志记者。\n开朗活泼，\n散发着健康魅力的美女。\n<c6/>\n"", 1]]",,
dup:field,dup:4075a249ea0c,褒め殺す\n,捧杀\n,"[[""捧杀\n"", 1], [""赞美至死\n"", 1]]",,
dup:field,dup:5497c7186bc3,<c5:0/><c1e:0/>【飾】地属性の魔法を受けると変化\nアイテムとして使うとマハマグナの効果\n<c6/>\n,<c5:0/><c1e:0/>【饰】受到地属性魔法攻击时会变化\n作为物品使用时具有玛哈玛格纳的效果\n<c6/>\n,"[[""<c5:0/><c1e:0/>【饰】受到地属性魔法攻击时会变化\\n作为物品使用时具有哈玛玛格纳的效果\\n<c6/>\\n"", 5], [""<c5:0/><c1e:0/>【饰】受到地属性魔法攻击时会变化\\n作为物品使用时具有玛哈玛玛格纳的效果\\n<c6/>\\n"", 1]]",<c5:0/><c1e:0/>【饰】受到地属性魔法攻击时会变化\n作为物品使用时具有哈玛玛格纳的效果\n<c6/>\n,position_majority
dup:field,dup:549f429916d9,親子を語る\n,谈论亲情\n,"[[""谈论亲情\n"", 1], [""谈亲子\n"", 1]]",,
dup:field,dup:8946b443c14d,<c5:0/><c1e:0/><c1d:11/>三人の関係<c1d:9/>\n 女三人、奇妙な連帯感と、競い合う微妙な女心?<c1d:1/>\n<c6/>\n,<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\n 三个女人奇妙的团结又怀揣竞争的女性心理？<c1d:1/>\n<c6/>\n,"[[""<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\n 三个女人奇妙的团结又怀揣竞争的女性心理？<c1d:1/>\n<c6/>\n"", 1], [""<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\\n 三女奇妙团结又竞争的女心？<c1d:1/>\\n<c6/>\\n"", 1]]",,
dup:field,dup:a5ec4e739fc3,星占いをする\n,星座占卜\n,"[[""星座占卜\n"", 1], [""占星\\n"", 1]]",,
dup:field,dup:b5d9a1e8a384,<c5:0/><c1e:0/><c1d:11/>三人の関係<c1d:9/>\n 女三人、信頼しなガらも競い合う、微妙な女心?<c1d:1/>\n<c6/>\n,<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\n 三个女人互相信任又相互竞争的微妙女性心理？<c1d:1/>\n<c6/>\n,"[[""<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\n 三个女人互相信任又相互竞争的微妙女性心理？<c1d:1/>\n<c6/>\n"", 1], [""<c5:0/><c1e:0/><c1d:11/>三人的关系<c1d:9/>\\n 三女信任又竞争的女心？<c1d:1/>\\n<c6/>\\n"", 1]]",,
